Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMaxScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,1110,2.913698,3.841500
50,1115,2.913698,3.837312
50,1120,2.913698,3.833050
50,1125,2.913698,3.828712
50,1130,2.913698,3.824300
50,1135,2.913698,3.819812
50,1140,2.913698,3.815250
50,1145,2.913698,3.810612
50,1150,2.913698,3.805900
50,1155,2.913698,3.801112
50,1160,2.913698,3.796250
50,1165,2.913698,3.791312
50,1170,2.913698,3.786300
50,1175,2.913698,3.781212
50,1180,2.913698,3.776050
50,1185,2.913698,3.770812
50,1190,2.913698,3.765500
50,1195,2.913698,3.760112
50,1200,2.913698,3.754650
50,1205,2.913698,3.749112
50,1210,2.913698,3.743500
50,1215,2.913698,3.737812
50,1220,2.913698,3.732050
50,1225,2.913450,3.726212
50,1230,2.913698,3.720300
50,1235,2.913698,3.714312
50,1240,2.913550,3.709350
50,1245,2.875698,3.665689
50,1250,2.913698,3.702648
50,1255,2.913698,3.703532
50,1260,2.913698,3.704398
50,1265,2.913698,3.703212
50,1270,2.913698,3.704976
50,1275,2.913698,3.706889
50,1280,2.913698,3.708783
50,1285,2.913698,3.711379
50,1290,2.913698,3.713400
50,1295,2.913698,3.715412
50,1300,2.913698,3.717417
50,1305,2.913698,3.719412
50,1310,2.913698,3.721400
50,1315,2.913698,3.723379
50,1320,2.913698,3.725350
50,1325,2.913698,3.727312
50,1330,2.913698,3.729267
50,1335,2.913698,4.469925
50,1340,2.913698,4.469050
50,1345,2.913698,4.468125
50,1350,2.913698,4.467150
50,1355,2.913698,4.466125
50,1360,2.913698,4.465050
50,1365,2.913698,4.463925
50,1370,2.913698,4.462750
50,1375,2.913698,4.461525
50,1380,2.913698,4.460250
50,1385,2.913698,4.458925
50,1390,2.913698,4.456880
50,1395,2.913698,4.456125
50,1400,2.913698,4.454650
50,1405,2.913698,4.453125
50,1410,2.913698,4.451550
50,1415,2.913698,4.449925
50,1420,2.913698,4.448250
50,1425,2.913698,4.446525
50,1430,2.913698,4.444750
50,1435,2.913698,4.442925
50,1440,2.913698,4.441050
50,1445,2.913698,4.439125
50,1450,2.913698,4.437150
50,1455,2.913698,4.435125
50,1460,2.913698,4.433050
50,1465,2.913698,4.430925
50,1470,2.913698,4.428750
50,1475,2.913698,4.426012
50,1480,2.913698,4.424250
50,1485,2.913698,4.421925
50,1490,2.913698,4.419550
50,1495,2.913698,4.417125
50,1500,2.913698,4.414650
50,1505,2.913698,4.412125
50,1510,2.913698,4.409550
50,1515,2.913698,4.406925
50,1520,2.913698,4.404250
50,1525,2.913698,4.401525
50,1530,2.913698,4.398750
50,1535,2.913698,4.395925
50,1540,2.913698,4.393050
50,1545,2.913698,4.390125
50,1550,2.913698,4.387150
50,1555,2.913698,4.384125
50,1560,2.913698,4.381050
50,1565,2.913698,4.377925
50,1570,2.913698,4.374750
50,1575,2.913698,4.371525
50,1580,2.913698,4.368250
50,1585,2.913698,4.364925
50,1590,2.913698,4.361550
50,1595,2.913698,4.358125
50,1600,2.913698,4.354650
50,1605,2.913698,4.351125
50,1610,2.913698,4.347550
50,1615,2.913698,4.343925
50,1620,2.913698,4.340250
50,1625,2.913698,4.336525
50,1630,2.913660,4.332750
50,1635,2.913698,4.328925
50,1640,2.913698,4.325050
50,1645,2.913698,4.321125
50,1650,2.913698,4.317150
50,1655,2.881249,4.280674
50,1660,2.875698,4.271198
50,1665,2.912450,4.304925
50,1670,2.913698,4.299650
50,1675,2.913698,4.295425
50,1680,2.913698,4.291150
50,1685,2.913698,4.286825
50,1690,2.913698,4.282450
50,1695,2.913698,4.278025
50,1700,2.913698,4.273550
50,1705,2.913698,4.269025
50,1710,2.913698,4.264450
50,1715,2.913698,4.259825
