Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
50,1540,2.914798,4.395398
50,1545,2.914798,4.392473
50,1550,2.914798,4.389498
50,1555,2.914798,4.386473
50,1560,2.914798,4.383398
50,1565,2.914798,4.380273
50,1570,2.914798,4.377098
50,1575,2.914798,4.373873
50,1580,2.914798,4.370598
50,1585,2.914798,4.367273
50,1590,2.914798,4.363898
50,1595,2.914798,4.360473
50,1600,2.914798,4.356998
50,1605,2.914798,4.353473
50,1610,2.914798,4.349898
50,1615,2.914798,4.346273
50,1620,2.914798,4.342598
50,1625,2.914798,4.338873
50,1630,2.914798,4.335098
50,1635,2.914798,4.331273
50,1640,2.914617,4.327217
50,1645,2.914798,4.323473
50,1650,2.914798,4.319498
50,1655,2.914798,4.315473
50,1660,2.914800,4.311400
50,1665,2.907200,4.299675
50,1670,2.914798,4.301998
50,1675,2.914798,4.297773
50,1680,2.914798,4.293498
50,1685,2.914798,4.289173
50,1690,2.914798,4.284798
50,1695,2.914798,4.280373
50,1700,2.914798,4.275898
50,1705,2.914798,4.271373
50,1710,2.914798,4.266798
50,1715,2.914798,4.262173
50,1720,2.914798,4.257498
50,1725,2.914798,4.252773
50,1730,2.914798,4.247998
50,1735,2.914798,4.243173
50,1740,2.914798,4.238298
50,1745,2.914798,4.233373
50,1750,2.914798,4.228398
50,1755,2.914798,4.223373
50,1760,2.914798,4.218298
50,1765,2.914798,4.213173
50,1770,2.914798,4.207998
50,1775,2.914798,4.202773
50,1780,2.914798,4.197498
50,1785,2.914798,4.192173
50,1790,2.914798,4.186798
50,1795,2.914798,4.181373
50,1800,2.914798,4.175898
50,1805,2.914798,4.170373
50,1810,2.914798,4.164798
50,1815,2.914798,4.159173
50,1820,2.914798,4.153498
50,1825,2.914798,4.147773
50,1830,2.914798,4.141998
50,1835,2.914798,4.136173
50,1840,2.914798,4.130298
50,1845,2.914798,4.124373
50,1850,2.914798,4.118398
50,1855,2.914798,4.112373
50,1860,2.914798,4.106298
50,1865,2.914798,4.100173
50,1870,2.914798,4.093998
50,1875,2.914798,4.087773
50,1880,2.914798,4.081498
50,1885,2.914798,4.075173
50,1890,2.914798,4.068798
50,1895,2.914798,4.062373
50,1900,2.914798,4.055898
50,1905,2.914798,4.049373
50,1910,2.914798,4.042798
50,1915,2.914798,4.036173
50,1920,2.914798,4.029498
50,1925,2.914798,4.022773
50,1930,2.914798,4.015998
50,1935,2.914798,4.009173
50,1940,2.914798,4.002298
50,1945,2.914798,3.995373
50,1950,2.914798,3.988398
50,1955,2.914798,3.981373
50,1960,2.914798,3.974298
50,1965,2.914798,3.967173
50,1970,2.914798,3.959998
50,1975,2.914798,3.952773
50,1980,2.914798,3.945498
50,1985,2.914798,3.938173
50,1990,2.914798,3.930798
50,1995,2.914798,3.923373
50,2000,2.914798,3.915898
50,2005,2.914798,3.908373
50,2010,2.914798,3.900798
50,2015,2.914798,3.893173
50,2020,2.914798,3.885498
50,2025,2.914798,3.877773
50,2030,2.914798,3.869998
50,2035,2.914798,3.862173
50,2040,2.914798,3.854298
50,2045,2.914798,3.846373
50,2050,2.914798,3.838398
50,2055,2.914798,3.830373
50,2060,2.914798,4.054217
50,2065,2.914798,4.052029
50,2070,2.914798,4.049867
50,2075,2.914798,4.047729
50,2080,2.914798,4.045617
50,2085,2.914798,4.043529
50,2090,2.914798,4.041467
50,2095,2.914798,4.039429
50,2100,2.914798,4.037417
50,2105,2.914798,4.035429
50,2110,2.914798,4.033467
50,2115,2.914798,4.031529
50,2120,2.914798,4.029617
50,2125,2.914798,4.027729
50,2130,2.914798,4.025867
50,2135,2.914798,4.024029
50,2140,2.914798,4.022217
50,2145,2.914798,4.020429
50,2150,2.914798,4.018667
50,2155,2.914798,4.016929
50,2160,2.914798,4.015217
50,2165,2.914798,4.013529
50,2170,2.914798,4.011867
50,2175,2.914798,4.010229
50,2180,2.914798,4.008617
50,2185,2.914798,4.007029
50,2190,2.914798,4.005467
50,2195,2.914798,4.003929
50,2200,2.914798,4.002417
50,2205,2.914798,4.000929
50,2210,2.914798,3.999467
50,2215,2.914798,3.998029
50,2220,2.914798,3.996617
50,2225,2.914798,3.995229
50,2230,2.914798,3.993867
50,2235,2.914798,3.992529
50,2240,2.914798,3.991217
50,2245,2.914798,3.989929
50,2250,2.914798,3.988667
50,2255,2.914798,3.987429
50,2260,2.914798,3.986217
50,2265,2.914798,3.985029
50,2270,2.914798,3.983867
50,2275,2.914798,3.982729
50,2280,2.914798,3.981617
50,2285,2.914798,3.980529
50,2290,2.914798,3.979467
50,2295,2.914798,3.978429
50,2300,2.914798,3.977417
50,2305,2.914798,3.976429
50,2310,2.914798,6.023948
50,2315,2.914798,6.024885
50,2320,2.914798,6.025798
50,2325,2.914798,6.026685
50,2330,2.914798,6.027548
50,2335,2.914798,6.028385
50,2340,2.914798,6.029198
50,2345,2.914798,6.029985
50,2350,2.914798,6.030748
50,2355,2.914798,6.031485
50,2360,2.914798,6.032198
50,2365,2.914798,6.032885
50,2370,2.914798,6.033548
50,2375,2.914798,6.034185
50,2380,2.914798,6.034798
50,2385,2.914798,6.035385
50,2390,2.914798,6.035948
50,2395,2.914798,6.036485
50,2400,2.914798,6.036998
50,2405,2.914798,6.037485
50,2410,2.914798,6.037948
50,2415,2.914798,6.038385
50,2420,2.914798,6.038798
50,2425,2.914798,6.039185
50,2430,2.914798,6.039548
50,2435,2.914798,6.039885
50,2440,2.914798,6.040198
50,2445,2.914798,6.040485
50,2450,2.914798,6.040748
50,2455,2.914798,6.040985
50,2460,2.914617,6.041017
50,2465,2.914798,6.041385
50,2470,2.914798,6.041548
50,2475,2.914798,6.041685
